Name,Year,Engine,Fuel,Transmission,Driven_KM,No_of_Owner,Location, Price 
Mercedes-Benz New C-Class 200 CDI Classic,2011,2148 CC,Diesel,Manual,65000,Second,Pune,10
Tata Indica V2 eLS,2016,1396 CC,Diesel,Manual,178000,First,Chennai,2.5
Audi A4 2.0 TDI Multitronic,2012,1968 CC,Diesel,Automatic,65664,First,Jaipur,13.5
Honda City ZX CVT,2007,1497 CC,Petrol,Automatic,63000,Second,Mumbai,1.85
Mercedes-Benz C-Class Progressive C 220d,2019,1950 CC,Diesel,Automatic,15369,First,Coimbatore,35.67
Maruti Ertiga SHVS VDI,2016,1248 CC,Diesel,Manual,63000,First,Pune,8.15
Hyundai Creta 1.4 E Plus Diesel,2018,1396 CC,Diesel,Manual,13000,First,Mumbai,10.5
Porsche Cayenne 2009-2014 Turbo,2008,4806 CC,Petrol,Automatic,73000,First,Mumbai,14.5
Mahindra XUV500 W8 4WD,2015,2179 CC,Diesel,Manual,55729,First,Mumbai,9.65
Hyundai i10 Sportz 1.2 AT,2012,1197 CC,Petrol,Automatic,45178,First,Kochi,3.48
Nissan Terrano XV D Pre,2015,1461 CC,Diesel,Manual,56066,First,Kochi,6.92
Honda Brio VX AT,2016,1198 CC,Petrol,Automatic,37300,Second,Coimbatore,6.46
Audi A6 2.0 TDI Design Edition,2014,1968 CC,Diesel,Automatic,56000,Second,Delhi,29.5
Ford Fiesta 1.4 SXi TDCi,2008,1399 CC,Diesel,Manual,111111,First,Jaipur,2
Toyota Innova 2.0 G1,2006,1998 CC,Petrol,Manual,230000,Third,Chennai,4.5
Toyota Innova 2.5 VX 7 STR BSIV,2012,2494 CC,Diesel,Manual,104000,First,Hyderabad,11.75
Hyundai Santro Xing XL,2005,1086 CC,Petrol,Manual,87591,First,Hyderabad,1.3
Maruti Swift VDI,2012,1248 CC,Diesel,Manual,95100,First,Jaipur,3.75
Tata Zest Revotron 1.2T XE,2017,1193 CC,Petrol,Manual,70000,First,Pune,4.5
Honda Amaze SX i-VTEC,2016,1198 CC,Petrol,Manual,54944,First,Kochi,4.82
Ford Figo Diesel ZXI,2012,1399 CC,Diesel,Manual,70337,First,Hyderabad,2.8
Maruti Ritz VDi,2013,1248 CC,Diesel,Manual,99638,First,Jaipur,3.11
Honda City i VTEC E,2009,1497 CC,Petrol,Manual,52000,First,Delhi,3.25
BMW 5 Series 2003-2012 525d,2011,1995 CC,Diesel,Automatic,75000,Second,Delhi,13.9
Hyundai i10 Sportz 1.2,2009,1197 CC,Petrol,Manual,95980,First,Pune,2.25
Hyundai Grand i10 Sportz,2016,1197 CC,Petrol,Manual,16000,First,Bangalore,5.75
Hyundai Santro Xing XO,2007,1086 CC,Petrol,Manual,73745,First,Hyderabad,2.1
Honda Amaze SX i-VTEC,2016,1198 CC,Petrol,Manual,18949,First,Mumbai,5
Toyota Fortuner 4x2 Manual,2014,2982 CC,Diesel,Manual,107000,First,Delhi,16.5
Audi A6 2011-2015 35 TDI Premium,2018,1968 CC,Diesel,Automatic,48367,First,Coimbatore,39.58
Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,1498 CC,Diesel,Manual,57000,First,Delhi,5.5
Mahindra XUV500 W8 2WD,2014,2179 CC,Diesel,Manual,58000,First,Delhi,8.1
Honda Amaze SX i-DTEC,2015,1498 CC,Diesel,Manual,30000,First,Kolkata,3.5
Volkswagen Polo Diesel Highline 1.2L,2013,1199 CC,Diesel,Manual,34212,First,Kolkata,2.79
Hyundai Verna Transform SX VGT CRDi,2010,1493 CC,Diesel,Manual,70002,First,Ahmedabad,3.45
Maruti Wagon R VXI BS IV,2016,998 CC,Petrol,Manual,62000,First,Bangalore,4.45
Volkswagen Polo Petrol Highline 1.6L,2010,1598 CC,Petrol,Manual,62001,First,Delhi,2.65
Hyundai i20 1.4 CRDi Sportz,2011,1396 CC,Diesel,Manual,78958,Second,Pune,3.8
Hyundai i20 Asta 1.2,2014,1197 CC,Petrol,Manual,30180,First,Mumbai,4.65
Datsun GO Plus T Petrol,2017,1198 CC,Petrol,Manual,32851,First,Pune,3.95
Audi A4 3.0 TDI Quattro Premium,2010,2967 CC,Diesel,Automatic,30000,First,Kolkata,9.8
Hyundai i20 2015-2017 Asta,2009,1197 CC,Petrol,Manual,66000,Second,Pune,2.7
Maruti Omni 5 Str STD,2010,796 CC,Petrol,Manual,93850,First,Coimbatore,2.41
Toyota Etios Liva 1.2 G,2014,1197 CC,Petrol,Manual,53000,First,Ahmedabad,3.9
Jaguar XF 3.0 Litre S Premium Luxury,2011,2993 CC,Diesel,Automatic,78000,Second,Hyderabad,24
Mahindra XUV500 W8 2WD,2012,2179 CC,Diesel,Manual,65000,Second,Delhi,5.75
Hyundai Verna 1.6 SX CRDI (O) AT,2014,1582 CC,Diesel,Automatic,40000,First,Kolkata,5.25
Toyota Innova Crysta 2.8 ZX AT,2017,2755 CC,Diesel,Automatic,30000,First,Mumbai,19.25
Maruti Eeco 5 Seater AC,2017,1196 CC,Petrol,Manual,38053,First,Coimbatore,3.91
Tata Nano Twist XT,2014,624 CC,Petrol,Manual,25500,First,Bangalore,2.15
BMW 3 Series 320d Luxury Line,2015,1995 CC,Diesel,Automatic,56087,First,Mumbai,20.75
Honda Civic 2006-2010 1.8 V MT,2010,1799 CC,Petrol,Manual,71088,First,Delhi,3.35
Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,2494 CC,Diesel,Manual,55000,First,Ahmedabad,11.11
Volvo V40 Cross Country D3,2014,1984 CC,Diesel,Automatic,32700,First,Bangalore,20
Nissan Micra XV CVT,2016,1198 CC,Petrol,Automatic,39882,First,Coimbatore,6.55
BMW 5 Series 2010-2013 525i,2009,2497 CC,Petrol,Automatic,128000,First,Mumbai,7
Maruti Vitara Brezza VDi,2016,1248 CC,Diesel,Manual,55000,First,Mumbai,7.5
Hyundai Santro Xing XL eRLX Euro III,2005,1086 CC,Petrol,Manual,102000,Second,Mumbai,0.85
Mercedes-Benz B Class B200 CDI,2014,2143 CC,Diesel,Automatic,53753,Second,Pune,16.75
Hyundai Verna CRDi 1.6 SX Option,2018,1582 CC,Diesel,Manual,10250,First,Kolkata,10.95
Maruti Wagon R LXI BS IV,2011,998 CC,Petrol,Manual,43874,First,Pune,2.45
Tata Nano XTA,2017,624 CC,Petrol,Automatic,32684,First,Coimbatore,3.23
Mahindra Scorpio VLX,2014,2179 CC,Diesel,Manual,42000,First,Kolkata,7.75
Mercedes-Benz New C-Class 200 K AT,2009,1796 CC,Petrol,Automatic,28352,First,Kolkata,9.35
Maruti Wagon R LXI CNG,2013,998 CC,CNG,Manual,89900,First,Pune,3.25
Honda CR-V 2.4 MT,2007,2354 CC,Petrol,Manual,47700,Second,Bangalore,5.25
Volkswagen Vento 1.5 TDI Comfortline AT,2015,1498 CC,Diesel,Automatic,55000,First,Pune,7.25
Maruti Ciaz VXi Plus,2017,1373 CC,Petrol,Manual,44285,First,Kochi,7.47
Mahindra XUV500 AT W10 FWD,2016,2179 CC,Diesel,Automatic,54000,First,Jaipur,13.25
Maruti Ritz VXI ABS,2016,1197 CC,Petrol,Manual,30232,First,Coimbatore,5.81
Maruti Alto K10 VXI,2014,998 CC,Petrol,Manual,88500,First,Hyderabad,2.6
Mercedes-Benz SLC 43 AMG,2017,2996 CC,Petrol,Automatic,13372,First,Kolkata,54
Hyundai Verna VTVT 1.6 AT SX Plus,2019,1591 CC,Petrol,Automatic,12645,First,Kochi,11.5
Maruti Alto LXi BSIII,2010,796 CC,Petrol,Manual,94385,Second,Chennai,1.6
BMW 1 Series 118d Base,2015,1995 CC,Diesel,Automatic,31821,First,Coimbatore,17.22
Honda Jazz 1.2 V CVT i VTEC,2015,1199 CC,Petrol,Automatic,12000,First,Mumbai,6
Honda Civic 2006-2010 1.8 V MT,2012,1799 CC,Petrol,Manual,88578,First,Delhi,3.95
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,2143 CC,Diesel,Automatic,44965,First,Kochi,17.95
Honda Amaze SX i-DTEC,2014,1498 CC,Diesel,Manual,45044,First,Kolkata,3.7
Maruti Swift VVT VXI,2016,1197 CC,Petrol,Manual,34204,First,Kochi,5.43
Hyundai Santro Xing XO eRLX Euro II,2008,1086 CC,Petrol,Manual,80759,Third,Kochi,1.67
Toyota Fortuner 3.0 Diesel,2012,2982 CC,Diesel,Manual,91235,First,Coimbatore,13.49
Chevrolet Beat LT Option,2014,1199 CC,Petrol,Manual,38800,First,Pune,2.85
Skoda Rapid 1.5 TDI Elegance,2013,1498 CC,Diesel,Manual,83000,First,Chennai,4.75
Maruti Ciaz 1.4 Alpha,2018,1373 CC,Petrol,Manual,41283,First,Kochi,9.9
Audi RS5 Coupe,2013,2894 CC,Petrol,Automatic,23000,First,Mumbai,37
BMW 3 Series Luxury Line,2014,1995 CC,Diesel,Automatic,48000,First,Mumbai,26.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,1968 CC,Diesel,Automatic,48214,First,Coimbatore,23.32
Maruti Swift VDI,2016,1248 CC,Diesel,Manual,35000,First,Chennai,6.25
Mercedes-Benz S Class 2005 2013 S 500,2010,5461 CC,Petrol,Automatic,35277,First,Kolkata,30
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,2016,1498 CC,Diesel,Automatic,54620,First,Coimbatore,9.86
Skoda Superb Elegance 2.0 TDI CR AT,2012,1968 CC,Diesel,Automatic,136997,First,Pune,8.5
Hyundai EON Magna Plus,2019,814 CC,Petrol,Manual,14322,First,Kochi,4.23
Volkswagen Polo Diesel Trendline 1.2L,2012,1199 CC,Diesel,Manual,65634,First,Jaipur,3.5
Datsun GO NXT,2016,1198 CC,Petrol,Manual,6000,First,Kolkata,2.5
Honda Brio S MT,2013,1198 CC,Petrol,Manual,33280,First,Kolkata,2.39
Mercedes-Benz B Class B180,2013,1595 CC,Petrol,Automatic,29000,First,Delhi,11.25
Honda City i DTEC V,2015,1498 CC,Diesel,Manual,42831,First,Kochi,7.11
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,2494 CC,Diesel,Manual,90000,First,Ahmedabad,10.9
Maruti Swift VXI Optional,2017,1197 CC,Petrol,Manual,24005,First,Ahmedabad,6.2
Mahindra XUV500 W8 2WD,2012,2179 CC,Diesel,Manual,32792,First,Mumbai,7.9
Ford Ecosport 1.5 DV5 MT Ambiente,2014,1498 CC,Diesel,Manual,147898,First,Kochi,4.42
Toyota Fortuner 4x2 Manual,2012,2982 CC,Diesel,Manual,131765,First,Mumbai,13.5
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2013,1498 CC,Diesel,Automatic,65000,First,Chennai,6.25
Ford Figo Diesel Titanium,2010,1399 CC,Diesel,Manual,66123,Second,Jaipur,2.1
BMW X5 xDrive 30d,2015,2993 CC,Diesel,Automatic,41000,First,Mumbai,45
Mercedes-Benz New C-Class C 220 CDI Style,2017,2143 CC,Diesel,Automatic,23550,First,Coimbatore,33.66
Honda Brio V MT,2012,1198 CC,Petrol,Manual,45000,Second,Bangalore,3.65
Hyundai i10 Magna 1.2,2013,1197 CC,Petrol,Manual,60000,First,Delhi,2.75
Mercedes-Benz GLC 220,2016,2143 CC,Diesel,Automatic,44414,First,Bangalore,42.5
Hyundai Grand i10 1.2 Kappa Asta,2019,1197 CC,Petrol,Manual,1000,First,Kolkata,6.5
Audi A6 2011-2015 2.0 TDI Premium Plus,2012,1968 CC,Diesel,Automatic,62500,Second,Mumbai,19
Volkswagen Vento Petrol Highline AT,2013,1598 CC,Petrol,Automatic,21000,Second,Mumbai,4.45
Mini Countryman Cooper D,2017,1998 CC,Diesel,Automatic,8525,Second,Jaipur,23
Hyundai i20 Asta 1.4 CRDi,2014,1396 CC,Diesel,Manual,29000,First,Bangalore,8.35
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,1968 CC,Diesel,Automatic,40000,First,Mumbai,22.95
Chevrolet Beat Diesel LT,2012,936 CC,Diesel,Manual,88000,First,Jaipur,1.5
Skoda Superb Elegance 1.8 TSI AT,2012,1798 CC,Petrol,Automatic,53537,First,Kochi,6.89
Ford Fiesta 1.4 TDCi EXI Limited Edition,2006,1399 CC,Diesel,Manual,216000,Second,Chennai,1.45
BMW 5 Series 520d Luxury Line,2014,1995 CC,Diesel,Automatic,51000,First,Hyderabad,33.5
Chevrolet Optra Magnum 1.6 LS BS3,2007,1598 CC,Petrol,Manual,118500,First,Jaipur,1.25
Volkswagen Polo Diesel Highline 1.2L,2012,1199 CC,Diesel,Manual,63000,First,Hyderabad,4.2
Renault Lodgy 110PS RxZ 8 Seater,2015,1461 CC,Diesel,Manual,25000,First,Mumbai,6.75
Mercedes-Benz E-Class E250 CDI Avantgrade,2014,2143 CC,Diesel,Automatic,37382,First,Bangalore,32
Maruti Baleno Alpha,2017,1197 CC,Petrol,Manual,24773,First,Kochi,7.5
Hyundai Verna 1.6 SX,2012,1582 CC,Diesel,Manual,62000,First,Delhi,4.6
Hyundai i10 Magna 1.1,2017,1086 CC,Petrol,Manual,52340,First,Kochi,4.04
Mahindra Scorpio 1.99 S10 4WD,2016,1997 CC,Diesel,Manual,56739,First,Kochi,10.31
Land Rover Range Rover 2.2L Dynamic,2018,2179 CC,Diesel,Automatic,36091,First,Coimbatore,55.76
Ford Figo Diesel ZXI,2010,1399 CC,Diesel,Manual,120000,First,Chennai,2.6
Maruti Ertiga ZDI,2016,1248 CC,Diesel,Manual,33000,First,Mumbai,8.5
Honda City 1.5 GXI,2007,,Petrol,Manual,60006,First,Ahmedabad,2.95
Honda Amaze S i-Dtech,2014,1498 CC,Diesel,Manual,52000,First,Kolkata,3.5
Hyundai i10 Magna,2015,1197 CC,Petrol,Manual,43571,First,Jaipur,3.55
Honda Amaze S i-Dtech,2013,1498 CC,Diesel,Manual,50000,First,Kolkata,3.25
Skoda Laura Ambiente,2008,1896 CC,Diesel,Manual,113000,First,Hyderabad,4.5
Renault Duster 85PS Diesel RxL,2014,1461 CC,Diesel,Manual,90000,First,Delhi,5.35
Mahindra NuvoSport N6,2017,1493 CC,Diesel,Manual,29000,Second,Chennai,6.5
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,1248 CC,Diesel,Manual,20000,First,Mumbai,9
Hyundai i20 Asta Option 1.2,2016,1197 CC,Petrol,Manual,61012,First,Kochi,6
Skoda Fabia 1.4 MPI Ambiente,2009,1390 CC,Petrol,Manual,87459,First,Jaipur,2.75
Tata Indigo eCS GLX,2010,1193 CC,Petrol,Manual,70500,First,Pune,1.5
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,2015,1968 CC,Diesel,Automatic,64103,First,Delhi,19.9
Skoda Octavia Elegance 1.8 TSI AT,2014,1798 CC,Petrol,Automatic,76000,First,Mumbai,10
Toyota Etios Liva GD SP,2014,1364 CC,Diesel,Manual,104000,First,Delhi,3
Maruti Swift 1.3 VXi,2010,,Petrol,Manual,42001,First,Kolkata,2.11
Mercedes-Benz B Class B180,2014,1595 CC,Petrol,Automatic,37245,First,Kochi,11.96
Honda Amaze S Diesel,2013,1498 CC,Diesel,Manual,45000,First,Kolkata,3.25
Hyundai Verna 1.6 SX,2012,1582 CC,Diesel,Manual,117837,Second,Jaipur,4.75
Renault Duster 85PS Diesel RxL Optional,2014,1461 CC,Diesel,Manual,30000,First,Mumbai,5.95
Hyundai Creta 1.6 VTVT S,2015,1591 CC,Petrol,Manual,27057,Second,Delhi,8.15
Maruti Wagon R AMT VXI,2016,998 CC,Petrol,Automatic,8500,First,Mumbai,4.22
Mercedes-Benz New C-Class C250 Avantgarde,2010,1796 CC,Petrol,Automatic,30500,First,Kolkata,10.5
Audi A8 L 3.0 TDI quattro,2012,2967 CC,Diesel,Automatic,56000,First,Delhi,45
Hyundai i10 Magna 1.1,2012,1086 CC,Petrol,Manual,44000,Second,Pune,2.9
Skoda Rapid 1.6 MPI AT Style Black Package,2017,1598 CC,Petrol,Automatic,10500,First,Mumbai,8.9
Skoda Superb Style 1.8 TSI AT,2017,1798 CC,Petrol,Automatic,26000,First,Hyderabad,26
Hyundai i20 Active 1.2 SX,2018,1197 CC,Petrol,Manual,25166,First,Coimbatore,8.22
Honda Amaze VX i-DTEC,2014,1498 CC,Diesel,Manual,64000,Second,Kolkata,3.5
Maruti Wagon R LXI,2004,998 CC,Petrol,Manual,61000,Second,Chennai,1.25
Mahindra Verito 1.5 D4 BSIV,2013,1461 CC,Diesel,Manual,107000,First,Hyderabad,3.7
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,2143 CC,Diesel,Automatic,29161,First,Coimbatore,39.41
Maruti Wagon R VXI,2013,998 CC,Petrol,Manual,32000,First,Kolkata,2.65
Nissan Terrano XV Premium 110 PS Anniversary Edition,2015,1461 CC,Diesel,Manual,46173,Second,Coimbatore,8.92
Maruti Swift VDI BSIV,2013,1248 CC,Diesel,Manual,47000,First,Delhi,4.1
Mini Cooper Convertible S,2017,1998 CC,Petrol,Automatic,26327,First,Kochi,35.67
Ford Figo Diesel,2015,1498 CC,Diesel,Manual,70436,First,Bangalore,3.6
Tata Indica V2 DLS BSII,2007,1396 CC,Diesel,Manual,200000,Second,Jaipur,0.85
Chevrolet Beat LT,2016,1199 CC,Petrol,Manual,60813,Second,Kochi,3.32
Volkswagen Polo Diesel Comfortline 1.2L,2012,1199 CC,Diesel,Manual,45000,First,Mumbai,3.6
Maruti Swift ZDi,2016,1248 CC,Diesel,Manual,64000,First,Hyderabad,6.8
Ford Figo Diesel EXI,2012,1399 CC,Diesel,Manual,41284,First,Kolkata,2.5
Toyota Innova Crysta 2.8 GX AT,2019,2755 CC,Diesel,Automatic,14165,First,Kochi,19.64
Hyundai Santa Fe 4x4 AT,2011,2199 CC,Diesel,Automatic,67000,Second,Mumbai,7
Honda City i-VTEC V,2011,1497 CC,Petrol,Manual,32572,First,Kolkata,3.87
Hyundai i20 1.2 Magna Executive,2018,1197 CC,Petrol,Manual,14960,First,Kochi,6.27
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2015,2143 CC,Diesel,Automatic,55980,First,Kochi,18.12
Chevrolet Beat Diesel LT,2013,936 CC,Diesel,Manual,74000,First,Mumbai,2.65
Hyundai i20 Sportz 1.4 CRDi,2015,1396 CC,Diesel,Manual,56847,First,Kochi,7.2
Toyota Innova 2.5 Z Diesel 7 Seater,2015,2494 CC,Diesel,Manual,121374,First,Coimbatore,14.3
Maruti Ertiga VDI,2013,1248 CC,Diesel,Manual,52000,First,Chennai,6.9
Toyota Innova 2.5 V Diesel 7-seater,2014,2494 CC,Diesel,Manual,118000,First,Mumbai,10.75
Hyundai Santro Xing XO eRLX Euro II,2007,1086 CC,Petrol,Manual,72000,Third,Mumbai,0.95
Honda City i VTEC V,2016,1497 CC,Petrol,Manual,33915,First,Kochi,8.09
BMW X1 sDrive20d,2014,1995 CC,Diesel,Automatic,82002,First,Ahmedabad,18.5
Hyundai Grand i10 CRDi Era,2017,1120 CC,Diesel,Manual,33000,First,Mumbai,4.75
Maruti Ciaz 1.3 Alpha,2016,1248 CC,Diesel,Manual,34000,First,Chennai,8.45
Skoda Rapid Leisure 1.6 TDI MT,2012,1598 CC,Diesel,Manual,55000,First,Kolkata,3.5
Hyundai Accent CRDi,2006,1493 CC,Diesel,Manual,160538,First,Kochi,1.8
Volkswagen Polo GT 1.5 TDI,2014,1498 CC,Diesel,Manual,60000,Second,Jaipur,3.7
Honda Jazz 1.2 VX i VTEC,2017,1199 CC,Petrol,Manual,49575,First,Coimbatore,7.17
Hyundai i10 Era,2010,1086 CC,Petrol,Manual,83000,First,Jaipur,1.75
Hyundai Tucson 2.0 e-VGT 2WD AT GLS,2018,1995 CC,Diesel,Automatic,51346,First,Kochi,21.99
Toyota Innova Crysta 2.4 ZX MT,2017,2393 CC,Diesel,Manual,43000,First,Pune,18.65
Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,2011,796 CC,Petrol,Manual,35000,Third,Jaipur,1.85
Maruti Swift VXI BSIV,2017,1197 CC,Petrol,Manual,27872,Second,Coimbatore,5.95
Hyundai Grand i10 Magna,2014,1197 CC,Petrol,Manual,16514,First,Mumbai,3.75
Maruti Swift VDI,2012,1248 CC,Diesel,Manual,120000,First,Pune,3.75
Hyundai Verna CRDi 1.6 SX,2008,1582 CC,Diesel,Manual,143275,First,Hyderabad,2.6
Hyundai Santro Xing XL,2006,1086 CC,Petrol,Manual,99000,First,Hyderabad,1.75
Hyundai i20 1.2 Sportz,2010,1197 CC,Petrol,Manual,52000,First,Mumbai,2.8
Mercedes-Benz GLE 350d,2017,2987 CC,Diesel,Automatic,29819,First,Coimbatore,61.29
Mercedes-Benz New C-Class C 220 CDI CLASSIC,2014,2148 CC,Diesel,Manual,57000,Second,Bangalore,18
Maruti Ritz ZDi,2014,1248 CC,Diesel,Manual,88500,First,Hyderabad,4.35
Hyundai Creta 1.6 CRDi SX,2016,1582 CC,Diesel,Manual,28000,First,Bangalore,13.75
Maruti A-Star Vxi,2010,998 CC,Petrol,Manual,67000,First,Pune,2
Renault Duster 110PS Diesel RXZ Option,2016,1461 CC,Diesel,Manual,26000,First,Delhi,10
Fiat Grande Punto 1.3 Emotion Pack (Diesel),2010,1248 CC,Diesel,Manual,120000,First,Delhi,1.65
BMW X3 xDrive30d M Sport,2017,2993 CC,Diesel,Automatic,51982,First,Coimbatore,45.77
